mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.46396360397338865,0.011170763848881889,0.07048840522766113,0.0067283046856055385,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7169811320754716,0.7610619469026548,0.78,0.7478260869565218,0.7307692307692307,0.7473276793407758,0.02214251206567913,11
0.8184513568878173,0.008885748523726875,0.1029233455657959,0.010743806750433661,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7289719626168224,0.7543859649122807,0.7920792079207921,0.7478260869565218,0.7184466019417476,0.7483419648696329,0.02537192230839753,9
0.5035223484039306,0.11482260892857027,0.08614902496337891,0.0075742736339075335,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7169811320754716,0.7610619469026548,0.78,0.7478260869565218,0.7307692307692307,0.7473276793407758,0.02214251206567913,11
0.7628938674926757,0.07758321798762759,0.1379849910736084,0.08673056279436431,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7289719626168224,0.7543859649122807,0.7920792079207921,0.7478260869565218,0.7184466019417476,0.7483419648696329,0.02537192230839753,9
0.3590580940246582,0.020086245070153334,0.06732325553894043,0.009752594041939532,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7735849056603774,0.7692307692307693,0.8163265306122449,0.7115384615384616,0.7083333333333334,0.7558028000750373,0.04092020902111403,3
0.8090478420257569,0.07540407250836964,0.11206579208374023,0.010033010959840527,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7777777777777778,0.780952380952381,0.8041237113402062,0.7115384615384616,0.6947368421052632,0.753825834742818,0.04270632847263069,5
0.5086127758026123,0.07080845218499396,0.08494749069213867,0.007210100316853415,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7735849056603774,0.7692307692307693,0.8163265306122449,0.7115384615384616,0.7083333333333334,0.7558028000750373,0.04092020902111403,3
0.7905337333679199,0.1333602358993745,0.10543923377990723,0.018292396783269188,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7777777777777778,0.780952380952381,0.8041237113402062,0.7115384615384616,0.6947368421052632,0.753825834742818,0.04270632847263069,5
0.4806255340576172,0.036904953985718705,0.07705140113830566,0.006343825391719004,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7428571428571429,0.7454545454545455,0.7755102040816326,0.7610619469026548,0.7346938775510204,0.7519155433693993,0.014565367136977134,7
0.768988847732544,0.09784980136482768,0.09524054527282715,0.01270263697946304,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7428571428571429,0.7567567567567568,0.8,0.7543859649122807,0.7422680412371134,0.7592535811526588,0.021201651934751573,1
0.4270016193389893,0.05466990420821929,0.0775918960571289,0.01141246287668189,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7428571428571429,0.7454545454545455,0.7755102040816326,0.7610619469026548,0.7346938775510204,0.7519155433693993,0.014565367136977134,7
0.6075188636779785,0.11815786277865134,0.05609307289123535,0.006154328876420748,10,log2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7428571428571429,0.7567567567567568,0.8,0.7543859649122807,0.7422680412371134,0.7592535811526588,0.021201651934751573,1
