model,accuracy,precision,recall,f1,roc_auc
Logistic Regression - Baseline,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606,0.8680481283422461
Logistic Regression - Balanced,0.8314606741573034,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.8673796791443851
Logistic Regression - SMOTE,0.8258426966292135,0.7936507936507936,0.7352941176470589,0.7633587786259542,0.8677807486631017
Decision Tree,0.7921348314606742,0.8163265306122449,0.5882352941176471,0.6837606837606838,0.8247994652406416
Random Forest,0.7865168539325843,0.734375,0.6911764705882353,0.7121212121212122,0.8145721925133689
Random Forest - GridSearchCV Best,0.7921348314606742,0.7719298245614035,0.6470588235294118,0.704,0.8127673796791444
